turn_id,session_id,user_turn_number,auto_rule_pred,human_conflict,annotator_id,adjudicated,notes
01_00_00_02_07_00_00__u0016,01_00_00_02_07_00_00,16,0,,,,
00_02_05_05_07_00_01__u0023,00_02_05_05_07_00_01,23,1,,,,
100__u0036,100,36,0,,,,
00_00_00_05_07_00_00__u0022,00_00_00_05_07_00_00,22,1,,,,
00_01_00_04_03_00_00__u0010,00_01_00_04_03_00_00,10,0,,,,
00_00_00_05_07_00_00__u0016,00_00_00_05_07_00_00,16,1,,,,
00_02_05_05_07_00_01__u0001,00_02_05_05_07_00_01,1,1,,,,
00_00_00_04_07_00_02__u0025,00_00_00_04_07_00_02,25,1,,,,
00_01_00_04_03_00_00__u0025,00_01_00_04_03_00_00,25,1,,,,
00_01_00_04_03_00_00__u0004,00_01_00_04_03_00_00,4,1,,,,
00_00_02_04_07_00_00__u0026,00_00_02_04_07_00_00,26,0,,,,
00_02_05_05_07_00_01__u0015,00_02_05_05_07_00_01,15,1,,,,
00_01_00_04_03_00_00__u0011,00_01_00_04_03_00_00,11,1,,,,
00_00_00_04_07_00_00__u0003,00_00_00_04_07_00_00,3,1,,,,
00_02_05_05_07_00_01__u0024,00_02_05_05_07_00_01,24,1,,,,
01_00_00_04_03_00_00__u0018,01_00_00_04_03_00_00,18,1,,,,
01_00_00_04_07_00_00__u0030,01_00_00_04_07_00_00,30,1,,,,
00_00_00_05_03_01_00__u0022,00_00_00_05_03_01_00,22,0,,,,
00_00_00_05_03_01_00__u0020,00_00_00_05_03_01_00,20,0,,,,
00_00_00_05_07_00_02__u0031,00_00_00_05_07_00_02,31,0,,,,
00_01_00_04_03_00_00__u0028,00_01_00_04_03_00_00,28,1,,,,
01_01_00_05_03_00_00__u0008,01_01_00_05_03_00_00,8,0,,,,
00_02_05_05_07_00_02__u0013,00_02_05_05_07_00_02,13,1,,,,
00_00_02_04_07_00_00__u0017,00_00_02_04_07_00_00,17,0,,,,
01_00_00_04_02_00_00__u0010,01_00_00_04_02_00_00,10,0,,,,
00_00_00_05_07_00_00__u0024,00_00_00_05_07_00_00,24,1,,,,
00_00_00_02_07_00_00__u0001,00_00_00_02_07_00_00,1,1,,,,
00_00_00_05_07_00_02__u0012,00_00_00_05_07_00_02,12,1,,,,
00_01_00_04_03_00_00__u0024,00_01_00_04_03_00_00,24,1,,,,
00_00_00_05_07_00_02__u0018,00_00_00_05_07_00_02,18,1,,,,
00_00_00_04_07_00_02__u0005,00_00_00_04_07_00_02,5,0,,,,
00_00_00_04_07_00_00__u0008,00_00_00_04_07_00_00,8,1,,,,
01_00_00_04_03_00_00__u0021,01_00_00_04_03_00_00,21,1,,,,
100__u0029,100,29,0,,,,
00_00_00_05_03_01_00__u0016,00_00_00_05_03_01_00,16,0,,,,
01_00_00_04_07_00_00__u0024,01_00_00_04_07_00_00,24,0,,,,
00_02_05_05_07_00_02__u0027,00_02_05_05_07_00_02,27,1,,,,
00_00_00_05_07_00_01__u0011,00_00_00_05_07_00_01,11,0,,,,
01_00_00_04_03_00_00__u0001,01_00_00_04_03_00_00,1,1,,,,
01_00_00_04_07_00_00__u0010,01_00_00_04_07_00_00,10,0,,,,
00_02_05_05_07_00_02__u0026,00_02_05_05_07_00_02,26,1,,,,
00_02_05_05_07_00_01__u0012,00_02_05_05_07_00_01,12,1,,,,
00_02_05_05_07_00_01__u0013,00_02_05_05_07_00_01,13,0,,,,
01_00_00_04_02_00_00__u0019,01_00_00_04_02_00_00,19,1,,,,
00_01_00_04_03_00_00__u0005,00_01_00_04_03_00_00,5,0,,,,
00_00_00_04_07_00_02__u0010,00_00_00_04_07_00_02,10,1,,,,
00_02_05_05_07_00_03__u0018,00_02_05_05_07_00_03,18,0,,,,
00_00_00_04_07_00_01__u0017,00_00_00_04_07_00_01,17,0,,,,
00_00_00_04_07_00_00__u0004,00_00_00_04_07_00_00,4,1,,,,
00_02_05_05_07_00_01__u0014,00_02_05_05_07_00_01,14,1,,,,
00_00_00_02_07_00_00__u0022,00_00_00_02_07_00_00,22,0,,,,
00_00_00_05_03_00_00__u0024,00_00_00_05_03_00_00,24,0,,,,
00_00_00_02_07_00_00__u0014,00_00_00_02_07_00_00,14,0,,,,
00_01_00_04_03_00_00__u0003,00_01_00_04_03_00_00,3,1,,,,
00_00_00_02_07_00_00__u0018,00_00_00_02_07_00_00,18,1,,,,
00_01_00_04_03_00_00__u0013,00_01_00_04_03_00_00,13,1,,,,
103__u0003,103,3,1,,,,
00_00_00_05_07_00_00__u0026,00_00_00_05_07_00_00,26,1,,,,
00_01_00_04_03_00_00__u0016,00_01_00_04_03_00_00,16,1,,,,
00_00_00_05_03_00_00__u0019,00_00_00_05_03_00_00,19,0,,,,
01_00_00_04_02_00_00__u0025,01_00_00_04_02_00_00,25,1,,,,
00_02_05_05_07_00_01__u0008,00_02_05_05_07_00_01,8,0,,,,
00_00_00_04_07_00_00__u0009,00_00_00_04_07_00_00,9,1,,,,
103__u0017,103,17,1,,,,
01_00_00_04_07_00_00__u0014,01_00_00_04_07_00_00,14,1,,,,
00_02_05_05_07_00_02__u0025,00_02_05_05_07_00_02,25,1,,,,
00_00_00_05_07_00_00__u0003,00_00_00_05_07_00_00,3,1,,,,
01_01_00_05_03_00_00__u0003,01_01_00_05_03_00_00,3,0,,,,
00_00_00_04_07_00_00__u0026,00_00_00_04_07_00_00,26,0,,,,
01_01_00_05_03_00_00__u0002,01_01_00_05_03_00_00,2,0,,,,
00_02_05_05_07_00_01__u0025,00_02_05_05_07_00_01,25,1,,,,
100__u0024,100,24,0,,,,
00_00_00_04_07_00_00__u0023,00_00_00_04_07_00_00,23,1,,,,
01_01_00_04_07_00_00__u0021,01_01_00_04_07_00_00,21,0,,,,
00_02_05_05_07_00_02__u0017,00_02_05_05_07_00_02,17,1,,,,
01_00_00_04_07_00_00__u0017,01_00_00_04_07_00_00,17,1,,,,
01_01_00_05_03_00_00__u0028,01_01_00_05_03_00_00,28,0,,,,
00_00_00_05_07_00_01__u0012,00_00_00_05_07_00_01,12,1,,,,
00_00_00_04_07_00_01__u0008,00_00_00_04_07_00_01,8,1,,,,
01_01_00_05_03_00_00__u0021,01_01_00_05_03_00_00,21,0,,,,
00_00_00_02_07_00_00__u0026,00_00_00_02_07_00_00,26,1,,,,
00_00_00_04_07_00_01__u0005,00_00_00_04_07_00_01,5,1,,,,
00_00_00_04_07_00_00__u0002,00_00_00_04_07_00_00,2,0,,,,
01_00_00_02_07_00_00__u0025,01_00_00_02_07_00_00,25,0,,,,
100__u0003,100,3,0,,,,
00_00_00_05_07_00_00__u0023,00_00_00_05_07_00_00,23,1,,,,
00_02_05_05_07_00_02__u0010,00_02_05_05_07_00_02,10,0,,,,
00_00_00_05_07_00_00__u0018,00_00_00_05_07_00_00,18,1,,,,
00_00_00_05_07_00_00__u0006,00_00_00_05_07_00_00,6,1,,,,
00_00_00_04_07_00_02__u0013,00_00_00_04_07_00_02,13,1,,,,
01_00_00_04_03_00_00__u0013,01_00_00_04_03_00_00,13,0,,,,
00_00_00_05_03_01_00__u0013,00_00_00_05_03_01_00,13,0,,,,
00_02_05_05_07_00_00__u0025,00_02_05_05_07_00_00,25,0,,,,
00_00_00_05_03_01_00__u0007,00_00_00_05_03_01_00,7,0,,,,
100__u0021,100,21,1,,,,
00_00_00_02_07_00_00__u0030,00_00_00_02_07_00_00,30,0,,,,
00_00_00_05_03_00_00__u0013,00_00_00_05_03_00_00,13,0,,,,
01_00_00_04_03_00_00__u0029,01_00_00_04_03_00_00,29,1,,,,
00_02_05_05_07_00_01__u0003,00_02_05_05_07_00_01,3,1,,,,
00_00_00_04_07_00_01__u0002,00_00_00_04_07_00_01,2,1,,,,
00_00_00_04_07_00_01__u0020,00_00_00_04_07_00_01,20,0,,,,
00_01_00_04_03_00_00__u0012,00_01_00_04_03_00_00,12,1,,,,
100__u0001,100,1,0,,,,
100__u0030,100,30,1,,,,
01_00_00_04_02_00_00__u0012,01_00_00_04_02_00_00,12,1,,,,
00_02_05_05_07_00_01__u0010,00_02_05_05_07_00_01,10,1,,,,
01_00_00_04_07_00_01__u0001,01_00_00_04_07_00_01,1,0,,,,
00_00_02_04_07_00_00__u0014,00_00_02_04_07_00_00,14,1,,,,
00_00_00_05_07_00_00__u0029,00_00_00_05_07_00_00,29,1,,,,
00_00_00_05_07_00_02__u0017,00_00_00_05_07_00_02,17,0,,,,
00_02_05_05_07_00_01__u0002,00_02_05_05_07_00_01,2,1,,,,
100__u0022,100,22,1,,,,
00_02_05_05_07_00_01__u0009,00_02_05_05_07_00_01,9,0,,,,
00_00_00_04_07_00_00__u0018,00_00_00_04_07_00_00,18,0,,,,
00_00_02_02_03_00_00__u0015,00_00_02_02_03_00_00,15,1,,,,
01_00_00_04_03_00_00__u0012,01_00_00_04_03_00_00,12,0,,,,
00_02_05_05_07_00_01__u0028,00_02_05_05_07_00_01,28,1,,,,
00_00_00_05_03_00_00__u0020,00_00_00_05_03_00_00,20,0,,,,
00_00_00_04_07_00_02__u0007,00_00_00_04_07_00_02,7,1,,,,
01_00_00_04_07_00_01__u0003,01_00_00_04_07_00_01,3,0,,,,
01_00_00_04_02_00_00__u0030,01_00_00_04_02_00_00,30,0,,,,
00_02_05_05_07_00_02__u0006,00_02_05_05_07_00_02,6,1,,,,
00_01_00_04_03_00_00__u0018,00_01_00_04_03_00_00,18,1,,,,
00_00_00_05_03_00_00__u0017,00_00_00_05_03_00_00,17,1,,,,
00_00_00_05_07_00_00__u0011,00_00_00_05_07_00_00,11,1,,,,
103__u0027,103,27,1,,,,
00_00_00_04_07_00_00__u0015,00_00_00_04_07_00_00,15,0,,,,
01_00_00_04_03_00_00__u0007,01_00_00_04_03_00_00,7,1,,,,
100__u0007,100,7,0,,,,
00_00_00_05_07_00_01__u0022,00_00_00_05_07_00_01,22,0,,,,
00_01_00_04_03_00_00__u0029,00_01_00_04_03_00_00,29,1,,,,
00_00_00_04_07_00_02__u0031,00_00_00_04_07_00_02,31,0,,,,
00_00_02_04_07_00_00__u0019,00_00_02_04_07_00_00,19,0,,,,
01_00_00_04_03_00_00__u0017,01_00_00_04_03_00_00,17,1,,,,
00_00_00_05_07_00_01__u0025,00_00_00_05_07_00_01,25,0,,,,
00_00_02_04_07_00_00__u0004,00_00_02_04_07_00_00,4,0,,,,
00_00_02_04_07_00_00__u0021,00_00_02_04_07_00_00,21,0,,,,
00_00_02_04_07_00_00__u0006,00_00_02_04_07_00_00,6,0,,,,
00_00_02_02_03_00_00__u0018,00_00_02_02_03_00_00,18,0,,,,
01_00_00_04_02_00_00__u0008,01_00_00_04_02_00_00,8,0,,,,
00_02_05_05_07_00_01__u0011,00_02_05_05_07_00_01,11,1,,,,
01_00_00_04_07_00_00__u0013,01_00_00_04_07_00_00,13,1,,,,
104__u0009,104,9,0,,,,
